country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",iso,relpct,region
Mexico,2016,6.824172974,9.731064796,0.893492579,67.93761444,0.7516130809999999,-0.157982796,0.808579445,0.8591064209999999,0.219571486,0.277944058,-0.427138358,-0.209451661,1.9594572780000001,0.287134767,,0.48475,0.432634264,MEX,89.36,Latin America and Caribbean
Moldova,2016,5.577784061,8.505997658,0.83732146,63.51531601,0.557369471,0.0009139910000000001,0.969482958,0.621101141,0.274551123,0.08406124300000001,-0.154610381,-0.556683362,1.853713512,0.332338691,,0.3299375,0.37286514,MDA,99.9,Commonwealth of Independent States
Mongolia,2016,5.056999683,9.337942123,0.9474893809999999,62.10371399,0.7597409490000001,0.073655866,0.900452137,0.694095433,0.171171755,0.34938287700000004,0.635155261,-0.227193967,1.692159295,0.334617257,,0.33583333299999996,0.386413842,MNG,61.4,East Asia
Montenegro,2016,5.3040661810000005,9.662998199,0.865743697,66.94638824,0.568633676,-0.090254776,0.848966599,0.59142518,0.336675465,0.325959235,0.120648876,0.046508445999999995,2.2282915119999998,0.42011004700000004,,0.3093,0.356859386,MNE,95.75,Central and Eastern Europe
Morocco,2016,5.38630724,8.890939713,0.6554093360000001,65.11118317,0.8165560959999999,-0.249711856,0.717356145,0.7126593590000001,0.20541314800000002,,-0.466077298,-0.15736308699999998,2.143992424,0.398044944,,0.4065,0.528209746,MAR,100.0,Middle East and North Africa
Myanmar,2016,4.623119831,8.576414108,0.793461978,57.48713303,0.8774911759999999,0.65864408,0.607286572,0.8040099140000001,0.301501393,0.924319088,-0.744200706,-0.870932102,1.850762725,0.40032765299999995,,0.381,0.426540643,MMR,100.0,Southeast Asia
Nepal,2016,5.099539757,7.739643097,0.837043643,60.94416428,0.839488447,0.18132416899999998,0.81711489,0.627351165,0.36966174799999996,0.49001622200000006,-0.51362282,-0.793513,2.4420259,0.478871822,,0.38299999999999995,0.483672142,NPL,100.0,South Asia
Netherlands,2016,7.540877342000001,10.76432228,0.9259442090000001,71.61999512,0.907310009,0.22616823,0.43330425,0.838432372,0.21485073899999999,0.572273314,1.184740663,1.9156339169999999,1.28147161,0.16993667199999998,,0.286909091,0.41705405700000003,NLD,41.0,Western Europe
New Zealand,2016,7.225687981,10.47082806,0.93660289,71.56868744,0.926576018,0.256222397,0.278270781,0.8329446909999999,0.207413629,0.5696901679999999,1.467140079,2.029567957,1.7404985430000002,0.24087651100000002,,,0.419764876,NZL,65.4,North America and ANZ
Nicaragua,2016,6.012739657999999,8.544193267999999,0.8527024390000001,66.01926422,0.7165342570000001,0.039651159,0.731464922,0.805123985,0.380347282,0.586549759,-0.400105834,-0.67397368,2.800153732,0.46570345799999996,,0.48275,0.416087627,NIC,98.0,Latin America and Caribbean
Niger,2016,4.234645844,6.818341255,0.682828248,50.951904299999995,0.701927304,0.002531102,0.814493895,0.674858928,0.325441957,0.5724675060000001,-0.711487949,-0.637474775,2.279543877,0.538308024,,0.368,0.47475644899999997,NER,100.0,Sub-Saharan Africa
Nigeria,2016,5.219567776,8.60056591,0.804766953,45.50125122,0.797690511,0.032186322,0.9047068359999999,0.731986105,0.25183629999999996,0.41432607200000005,-1.074466944,-1.025677562,2.5199592109999998,0.482790768,,0.4155,0.5005320910000001,NGA,100.0,Sub-Saharan Africa
North Cyprus,2016,5.827127934,,0.807690263,,0.796233833,,0.670191407,0.64366436,0.34646537899999996,0.440594882,,,1.857637882,0.31879133,,,0.293435723,,,Western Europe
Norway,2016,7.596331596000001,11.06943226,0.9597428440000001,71.086586,0.9543523190000001,0.10647119599999999,0.409666121,0.849625945,0.20926219199999999,0.657646239,1.3740895990000002,1.950178385,1.5792648790000001,0.207898363,,0.271727273,0.349659204,NOR,93.3,Western Europe
Pakistan,2016,5.5485081670000005,8.487689018,0.626921296,57.30535889,0.6341828110000001,0.079944424,0.79253006,0.647639751,0.33161667,0.455683172,-1.57769084,-0.740906477,1.956958294,0.352699906,,0.312571429,0.32332861399999996,PAK,99.8,South Asia
Palestinian Territories,2016,4.906618118,8.46180439,0.817770958,62.95499802,0.607669413,-0.13439247,0.812464654,0.592769146,0.37764179700000006,0.46377155200000003,,,2.375508785,0.484143823,,,0.42055773700000004,,,Middle East and North Africa
Panama,2016,6.117638111000001,9.968101501,0.882460237,67.87834167,0.8844797609999999,-0.096953698,0.836976767,0.857623577,0.244131789,0.329894483,0.481653512,0.021204807000000003,2.6457357409999998,0.43247667,,0.53675,0.534175694,PAN,98.0,Latin America and Caribbean
Paraguay,2016,5.8013801570000005,9.090585708999999,0.93986696,63.39973068,0.853534281,-0.06036834,0.7561162709999999,0.9245609640000001,0.197176188,0.28455975699999997,0.08076953099999999,-0.6218267679999999,1.960702538,0.33797174700000004,,0.519066667,0.47645723799999995,PRY,96.75,Latin America and Caribbean
Peru,2016,5.7006287570000005,9.398610115,0.802856445,65.20880890000001,0.829843879,-0.14588768800000002,0.86591959,0.8216747640000001,0.33800685399999997,0.281923383,0.06017337,-0.12763212599999998,2.3739392759999998,0.416434646,,0.4891875,0.480143815,PER,98.0,Latin America and Caribbean
Philippines,2016,5.430832862999999,8.886888504,0.821298718,60.13003159,0.907595754,-0.077418268,0.7919622059999999,0.820969462,0.290232718,0.7716267109999999,-0.579913437,-0.23528541600000002,2.470617771,0.454924285,,0.418833333,0.533455908,PHL,99.9,Southeast Asia
Poland,2016,6.162076473,10.16781044,0.91739881,68.57260132,0.8707075120000001,-0.102382511,0.847753942,0.77662462,0.223536044,0.382713199,0.67418617,0.767235398,1.84584868,0.299549788,,0.334733333,0.312157542,POL,97.0,Central and Eastern Europe
Portugal,2016,5.446637153999999,10.20746899,0.90463537,71.80812836,0.83806932,-0.23237966,0.922192395,0.683566213,0.32625272899999996,0.354542404,1.0950245859999999,1.038751483,2.132012844,0.391436547,,0.36700000000000005,0.45052737,PRT,91.62,Western Europe
